corpus_id,entry_no,definition,prediction,present,present_1sg,imperfective,perfective,imperative,infinitive
554,564,he/she is conversing,FullEventful,talhinoheha,tekalinoheha,talhinohehsko'i,tulhinohelhv'i,thalhinohvla,tsulhinohehti
555,565,he/she is jumping,FullEventful,talhthateka,tekalithateka,talhthateko'i,tulhthatinvhsv'i,thalhthatuka,tsulhthatinvti
557,567,he/she is changing clothes,FullEventful,tanhawa'iyv'a,tekaniwa'iyv'a,tanhawa'iyvhsko'i,tunhawa'iyvhsv'i,thanhawa'iyvna,tsunhawa'iyvhsti
558,568,he/she is undressing,FullEventful,tanhawe'a,tekaniwe'a,tanhawehsko'i,tunhawehsv'i,thanhawaki,tsunhawehsti
559,569,he/she is putting on clothes,FullEventful,tanhawo'a,tekaniwo'a,tanhawohsko'i,tunhawo'v'i,thanhawotsa,tsunhawohsti
561,571,he/she is putting fuel into a fire (refers to solid fuel),FullEventful,tahvthvhska,tetsi'vthvhska,tahvthvhsko'i,tuhvthanv'i,thihvthvka,tsuhvthti
562,572,he/she is tickling him/her,FullEventful,tayhvki'a,tetsiyvki'a,tayhvkihsko'i,tuyhvkv'i,thiyvka,tsuyhvkihsti
564,574,he/she is squatting,FullEventful,tatsilhuhska,tekatsilhuhska,tatsilhuhsko'i,tutsilhunv'i,thatsilhuka,tsukilhuhsti
565,575,he/she is tying it,FullEventful,takhanehiha,tetsikanehiha,takhanehiho'i,tukhanelhv'i,thikhaneka,tsukhanehsti
566,576,he/she is untying it,FullEventful,takhaneyhiha,tetsikaneyhiha,takhaneyhihsko'i,tukhaneyhvhv'i,thikhaneyha,tsukhaneyhvhti
567,577,he/she is looking after him/her,FullEventful,takhanowatitoha,tetsikanowatitoha,takhanowatitoho'i,tukhanowatitolv'i,thikanowatita,tsukhanowatitahsti
568,578,he/she is becoming blind,FullEventful,takhewaka,tetsi'kewaka,takhewako'i,tukhewatsv'i,thikhewaki,tsukhewa'ihsti
571,581,he/she is making smoke,FullEventful,takhsvhstiha,tetsikahsvhstiha,takhsvhstihsko'i,tukhsvhsthanv'i,thikhsvhsta,tsukhsvhstohti
572,582,he/she is blinking,FullEventful,takhthanawhska,tekakathanawhska,takhthanawhsko'i,tukhthanawhsv'i,thakhthanawha,tsukhthanawhsti
573,583,he/she is closing his eyes,FullEventful,takhthahstiha,tekakathahstiha,takhthahstihsko'i,tukhthahsthanv'i,thakhthahsta,tsukhthahstohti
574,584,he/she is attacking him/her,FullEventful,takhthileka,tetsikathileka,takhthileko'i,tukhthilvhsv'i,thikathiluka,tsukhthilvhsti
575,585,he/she is taking off his/her glasses,FullEventful,takhthinvte'a,tekakathinvte'a,takhthinvtehsko'i,tukhthinvtehsv'i,thakhthinvtaki,tsukhthinvtehsti
576,586,he/she is putting on glasses,FullEventful,takhthinvthvhska,tekakathinvthvhska,takhthinvthvhsko'i,tukhthinvthanv'i,thakhthinvthvka,tsukhthinvthti
577,587,he/she is shelling corn,FullEventful,takhtlhiha,tetsikatlhiha,takhtlhihsko'i,tukhtlhvhv'i,thikhtlha,tsukhtlhvhti
578,588,he/she is snoring,FullEventful,takwhalaki'a,tetsikwhalaki'a,takwhalakihsko'i,tukwhalakihsv'i,thikwhalaki,tsukwhalakihsti
579,589,he/she is sprinkling it (with a liquid‚ powder‚ salt‚ etc.),FullEventful,takwhayo'vhska,tetsikwhayo'vhska,takwhayo'vhsko'i,tukwhayonv'i,thikwhayo'vka,tsukwhakoti
582,592,he/she is putting on shoes,FullEventful,talahsulhvhska,tekalahsulhvhska,talahsulhvhsko'i,tulahsulhanv'i,thalahsulhvka,tsulahsulhti
583,593,he/she is changing shoes,FullEventful,talahsula'iyv'a,tekalahsula'iyv'a,talahsula'iyvhsko'i,tulahsula'iyvhsv'i,thalahsula'iyvna,tsulahsula'iyvhsti
584,594,he/she is taking off his/her shoes,FullEventful,talahsule'a,tekalahsule'a,talahsulehsko'i,tulahsulehsv'i,thalahsulaki,tsulahsulehsti
585,595,he/she is helping him/her up,FullEventful,talehtiha,tetsiyaletiha,talehtihsko'i,tulehthanv'i,thiyaleta,tsulehtohti
586,596,he/she is recuperating,FullEventful,talehihsiha,tekale'ihsiha,talehihsihsko'i,tulehihsanhv'i,thalehihsa,tsulehihsohti
587,597,he/she is getting up (from sitting or from involuntarily assumed prone position),FullEventful,talehvhska,tekale'vhska,talehvhsko'i,tulenhv'i,thalehvka,tsulehti
589,599,he/she is taking off his/her gloves,FullEventful,taliyehsule'a,tekaliyehsule'a,taliyehsulehsko'i,tuliyehsulehsv'i,thaliyehsulaki,tsuliyehsulehsti
590,600,he/she is putting on his/her gloves,FullEventful,taliyehsuli'a,tekaliyehsuli'a,taliyehsulihsko'i,tuliyehsulanv'i,thaliyehsulvka,tsuliyehsuloti
591,601,he/she is taking off his/her socks,FullEventful,taliyoki'a,tekaliyoki'a,taliyokihsko'i,tuliyokihsv'i,thaliyoki,tsuliyokihsti
592,602,he/she is putting on his/her socks,FullEventful,taliyohiha,tekaliyo'iha,taliyohiho'i,tuliyolhv'i,thaliyoka,tsuliyohsti
593,603,he/she is changing his/her socks,FullEventful,taliyohsiha,tekaliyohsiha,taliyohsiho'i,tuliyohsvhv'i,thaliyohsa,tsuliyohsvhti
594,604,he/she is aiming at him/her,FullEventful,talhsohstiha,tetsiyalihsohstiha,talhsohstihsko'i,tulhsohsthanv'i,thiyalihsohsta,tsulhsohstohti
596,606,they are having a trial,FullEventful,tanatahi'litoha,totsatahi'litoha,tanatahi'litoho'i,tunatahi'litolv'i,titsatahi'lita,tsunatahi'litahsti
597,607,they are meeting,FullEventful,tanatlohska,totsatlohska,tanatlohsko'i,tunatlohsv'i,titsatlohi,tsunatlohihsti
598,608,they are separating,FullEventful,tanakaleniha,tohstakaleniha,tanakalenihsko'i,tunakalenvhv'i,tihstakalena,tsunakalenhti
599,609,he/she is playing with him/her,FullEventful,tanelhtiha,tetsiyanelhtiha,tanelhtihsko'i,tunelhthanv'i,thiyanelhta,tsunelhtohti
600,610,he/she is playing,FullEventful,tanelohvhska,tekanelohvhska,tanelohvhsko'i,tunelonhv'i,thanelohvka,tsunelhti
601,611,they’re having church services,FullEventful,tanilawika,totsilawika,tanilawiko'i,tunilawitsv'i,titsilawiki,tsunilawihsti
603,613,they are adjourning,FullEventful,taniyelihska,totsiyelihska,taniyelihsko'i,tuniyelihsv'i,titsiyelihi,tsuniyelihihsti
604,614,he/she is shooting at him/her,FullEventful,tahstayohiha,tetsihstayohiha,tahstayohiho'i,tuhstayolhv'i,thihstayoha,tsuhstayohsti
605,615,he/she is splitting it,FullEventful,tahstluhska,tetsihstluhska,tahstluhsko'i,tuhstluyhv'i,thihstluyha,tsuhstluhsti
606,616,he/she is sprinkling it (with liquid),FullEventful,tahstutli'a,tetsihstutli'a,tahstutlihsko'i,tuhstutlv'i,thihstutla,tsuhstutlihsti
607,617,he/she is counting it,FullEventful,tahsehiha,tekahsehiha,tahsehiho'i,tuhselhv'i,thahseka,tsuhsehsti
608,618,he/she is cursing him/her,FullEventful,tahskinati'a,tetsihskinati'a,tahskinatihsko'i,tuhskinatv'i,thihskinata,tsuhskinatihsti
609,619,he/she is clapping his/her hands,FullEventful,tahsihthvniha,tekahsihthvniha,tahsihthvniho'i,tuhsihthvnilv'i,thahsihthvnika,tsuhsihthvnihsti
610,620,he/she is getting exhausted,FullEventful,tahsthayehska,tekahsthayehska,tahsthayehsko'i,tuhsthayehsv'i,thahsthayehi,tsuhsthayehihsti
611,621,it’s barking,FullEventful,tahsuwhihska,tekahsuwhihska,tahsuwhihsko'i,tuhsuwhihsv'i,thahsuwha,tsuhsuwhihsti
612,622,he/she is scheduling a time,FullEventful,tahsvhstiha,tetsihsvhstiha,tahsvhstihsko'i,tuhsvhsthanv'i,thihsvhsta,tsuhsvhstohti
613,623,he/she is ironing,FullEventful,tathehska,tetsithehska,tathehsko'i,tuthehsv'i,thithvla,tsuthehsti
618,628,he/she is releasing him/her,FullEventful,tayohska,tetsiyohska,tayohsko'i,tuyohsv'i,thiyohi,tsuyohihsti
620,631,he/she is slamming him/her,FullEventful,tekalvtvnihstiha,tetsilvtvnihstiha,tekalvtvnihstihsko'i,tulvtvnihsthanv'i,thilvtvnihsta,tsulvtvnihstohti
621,632,he/she is crossing (refers to a road‚ bridge‚ etc.),FullEventful,tekanatiwhska,tetsinatiwhska,tekanatiwhsko'i,tunatiwhsv'i,thinatiwhi,tsunatiwhihsti
622,633,he/she is advertising it,FullEventful,tekanotsalhvhska,tetsinotsa'lvhska,tekanotsalhvhsko'i,tunotsalhanv'i,thinotsalhvka,tsunotsalhti
623,634,he/she is crossing it (refers to a body of water),FullEventful,tekahsohka,tetsihsohka,tekahsohko'i,tuwahsohtsv'i,thihsohki,tsuwahsohihsti
624,635,he/she is enduring it (idiom),FullEventful,tekethvhska,teke'tvhska,tekethvhsko'i,tuwethinv'i,thethvka,tsuwethti
